,sound,nsyll,npause,dur(s),phonationtime(s),speechrate(nsyll / dur),articulation rate(nsyll / phonationtime),ASD(speakingtime / nsyll)
0,sounds/asr-spanish-v1-carlfm01/audios\0000df16-47ea-428f-8367-df2ce365d5c4.wav,34,2,8.93,8.93,3.807390817469205,4.3984476067270375,0.22735294117647056
1,sounds/asr-spanish-v1-carlfm01/audios\000127f7-2705-4135-b16c-04daaa80e88d.wav,37,1,7.63,7.63,4.849279161205767,5.106265525807342,0.1958378378378378
2,sounds/asr-spanish-v1-carlfm01/audios\0001d4a5-e7f1-42a4-b71f-74bd1549f2d4.wav,15,1,3.52,3.52,4.261363636363637,4.711055276381909,0.2122666666666667
3,sounds/asr-spanish-v1-carlfm01/audios\000275c9-1aa3-4112-81df-0883a86d3fb7.wav,18,1,4.29,4.29,4.195804195804196,4.704652378463146,0.21255555555555555
4,sounds/asr-spanish-v1-carlfm01/audios\0002a149-56cf-4ce0-b2c8-506a53b47012.wav,12,0,2.66,2.66,4.511278195488722,4.511278195488722,0.22166666666666668
5,sounds/asr-spanish-v1-carlfm01/audios\00034afc-c1cb-4ac8-8330-801f2f75420b.wav,12,0,2.56,2.56,4.6875,4.6875,0.21333333333333335
6,sounds/asr-spanish-v1-carlfm01/audios\00037f94-a09f-43c3-aaa1-a009e8a1d75c.wav,17,0,2.82,2.82,6.028368794326242,6.028368794326242,0.16588235294117645
7,sounds/asr-spanish-v1-carlfm01/audios\0003f3e2-01e6-4c47-be73-8060c74df4ea.wav,8,0,2.47,2.47,3.2388663967611335,3.2388663967611335,0.30875
8,sounds/asr-spanish-v1-carlfm01/audios\00041a31-2e68-444a-9a46-d8140b532d9c.wav,8,0,1.59,1.59,5.031446540880503,5.031446540880503,0.19875
9,sounds/asr-spanish-v1-carlfm01/audios\00044ccb-0a0b-4458-aee6-60fb7bc47493.wav,12,1,3.33,3.33,3.6036036036036037,4.0733197556008145,0.24550000000000002
10,sounds/asr-spanish-v1-carlfm01/audios\00052be4-81ce-4a42-b9c4-b4547c051703.wav,16,0,3.08,3.08,5.194805194805195,5.194805194805195,0.1925
11,sounds/asr-spanish-v1-carlfm01/audios\000787af-823d-4985-bc5b-57e72a51d196.wav,13,0,2.55,2.55,5.098039215686275,5.098039215686275,0.19615384615384615
12,sounds/asr-spanish-v1-carlfm01/audios\000902d7-dd77-4ae5-b4ab-ad9001d4c2f2.wav,3,0,1.08,1.08,2.7777777777777777,2.7777777777777777,0.36000000000000004
13,sounds/asr-spanish-v1-carlfm01/audios\0009bb0f-3d7d-49ea-8bdd-6aea0f8c57b0.wav,6,0,1.71,1.71,3.5087719298245617,3.5087719298245617,0.285
14,sounds/asr-spanish-v1-carlfm01/audios\000c3c9c-f5f2-4bc5-b5b0-9524ad54bc63.wav,16,1,3.92,3.92,4.081632653061225,4.464285714285714,0.22399999999999998
